iter	Passed	Remaining
955	6904	317
956	6911	310
957	6917	303
958	6923	296
959	6930	288
960	6937	281
961	6944	274
962	6950	267
963	6957	259
964	6963	252
965	6969	245
966	6975	238
967	6982	230
968	6989	223
969	6995	216
970	7001	209
971	7008	201
972	7014	194
973	7024	187
974	7034	180
975	7044	173
976	7053	166
977	7063	158
978	7073	151
979	7085	144
980	7094	137
981	7103	130
982	7113	123
983	7123	115
984	7133	108
985	7143	101
986	7152	94
987	7159	86
988	7166	79
989	7172	72
990	7179	65
991	7185	57
992	7192	50
993	7201	43
994	7208	36
995	7214	28
996	7221	21
997	7227	14
998	7233	7
999	7240	0
